ID,Date,Address,City,State,Units,Completion,Comments,X,Y
64,7/14/2022 2:57:50 AM,612 Prospect Ave,South Pasadena,CA,0,Tentative,In progress.,-118.1583487,34.11837402
65,7/14/2022 3:12:37 AM,616 Prospect Ave,South Pasadena,CA,10,Yes,None,-118.1583485,34.11821628
66,7/14/2022 3:15:17 AM,622 Prospect Ave,South Pasadena,CA,4,Yes,None,-118.1583357,34.1180527
67,7/14/2022 3:26:54 AM,626 Prospect Ave,South Pasadena,CA,12,Yes,None,-118.1583141,34.11785029
68,7/14/2022 3:33:17 AM,634 Prospect Ave,South Pasadena,CA,5,Yes,None,-118.1583485,34.11770177
69,7/14/2022 3:41:07 AM,640 Prospect Ave,South Pasadena,CA,9,Yes,None,-118.1582721,34.11746527
70,7/22/2022 5:50:00 PM,623 Prospect Ave,South Pasadena,CA,10,Yes,None,-118.1587171,34.11799111
71,7/15/2022 6:47:49 PM,344 Pasadena Ave,South Pasadena,CA,0,No,Did not attempt. Appears to be single-unit housing.,-118.1673625,34.11477391
72,7/15/2022 10:50:07 PM,396 Pasadena Ave,South Pasadena,CA,10,Yes,Also with 390 Pasadena Ave.,-118.1670156,34.11521236
73,7/15/2022 10:52:29 PM,326 Pasadena Ave,South Pasadena,CA,6,Yes,None,-118.1682174,34.11375721
74,7/15/2022 10:53:33 PM,330 Pasadena Ave,South Pasadena,CA,4,Yes,None,-118.1680224,34.11399786
75,7/15/2022 10:55:06 PM,334 Pasadena Ave,South Pasadena,CA,5,Yes,None,-118.1678434,34.11423996
76,7/15/2022 10:56:44 PM,324 Pasadena Ave,South Pasadena,CA,8,Yes,Also with 322 Pasadena Ave.,-118.1683873,34.11357434
77,7/15/2022 11:05:07 PM,900 Arroyo Dr,South Pasadena,CA,4,Yes,None,-118.1668314,34.11552802
78,7/19/2022 11:07:00 PM,310 Pasadena Ave,South Pasadena,CA,21,Yes,None,-118.1690855,34.11272548
79,7/15/2022 11:10:58 PM,320 Pasadena Ave,South Pasadena,CA,14,Yes,None,-118.1687434,34.11347504
80,7/15/2022 11:12:19 PM,1012 Arroyo Dr,South Pasadena,CA,16,Yes,Also with 1014 and 1016 Arroyo Dr.,-118.1692474,34.11371617
81,7/15/2022 11:18:02 PM,1009 Arroyo Dr,South Pasadena,CA,0,Tentative,In progress. Units 4 and 5 may be near pool.,-118.1691282,34.11396983
82,7/15/2022 11:19:33 PM,1000 Arroyo Dr,South Pasadena,CA,3,Yes,None,-118.1689515,34.11408951
83,7/15/2022 11:22:36 PM,932 Arroyo Dr,South Pasadena,CA,0,Tentative,In progress.,-118.1681647,34.11474234
84,9/7/2022 11:25:00 PM,328 Pasadena Ave,South Pasadena,CA,1,Yes,Parcel has two properties. QC reject. Mislabeled units.,-118.1681355,34.1138907
85,7/15/2022 11:26:56 PM,938 Arroyo Dr,South Pasadena,CA,3,Yes,None,-118.1684147,34.11452784
86,7/15/2022 10:55:06 PM,332 Pasadena Ave,South Pasadena,CA,5,Yes,None,-118.1679299,34.11411946
87,7/18/2022 6:28:56 PM,190 Monterey  Rd,South Pasadena,CA,3,Yes,None,-118.1730997,34.11070832
88,7/18/2022 7:34:42 PM,127 Monterey Rd,South Pasadena,CA,0,Tentative,None,-118.1756924,34.10970818
89,7/18/2022 7:43:20 PM,75 Monterey Rd,South Pasadena,CA,0,Tentative,None,-118.1778156,34.10928783
90,7/19/2022 6:25:29 AM,265 Monterey Rd,South Pasadena,CA,0,Tentative,None,-118.1702774,34.11122174
91,9/8/2022 6:28:00 AM,254 Monterey Rd,South Pasadena,CA,16,Yes,None. QC,-118.1707457,34.11145254
92,7/19/2022 6:30:31 AM,230 Monterey Rd,South Pasadena,CA,0,No,Did not attempt. Gate locked. Also with 228 and 226 Monterey Rd.,-118.1715198,34.11115573
93,9/8/2022 6:33:00 AM,236 Monterey Rd,South Pasadena,CA,18,Yes,None,-118.1712293,34.1112605
94,7/19/2022 6:35:25 AM,317 Monterey Rd,South Pasadena,CA,0,Tentative,None,-118.1690869,34.11131264
95,7/19/2022 6:37:13 AM,241 Monterey Rd,South Pasadena,CA,0,No,Did not attempt gate locked.,-118.1712578,34.110894
96,7/19/2022 6:40:35 AM,212 Monterey Rd,South Pasadena,CA,0,Tentative,Also with 202 Monterey Rd,-118.1723044,34.11095605
97,7/19/2022 6:41:48 AM,200 Monterey Rd,South Pasadena,CA,8,Yes,None,-118.1726404,34.11081316
98,7/19/2022 6:45:06 AM,174 Monterey Rd,South Pasadena,CA,5,Yes,None,-118.1735825,34.11057284
99,7/19/2022 6:49:21 AM,170 Monterey Rd,South Pasadena,CA,5,Yes,None,-118.1737377,34.11054017
100,7/19/2022 6:52:11 AM,185 Monterey Rd,South Pasadena,CA,1,Yes,Appears to be abandoned and single-unit housing. QC reject,-118.1731746,34.1103458
101,7/19/2022 6:53:29 AM,181 Monterey Rd,South Pasadena,CA,1,Yes,Appears to be abandoned and single-unit housing. QC reject,-118.1733178,34.11030326
102,7/19/2022 6:56:42 AM,167 Monterey Rd,South Pasadena,CA,0,No,Did not attempt. Gate locked. QC,-118.173597,34.1102076
103,7/19/2022 7:00:48 AM,163 Monterey Rd,South Pasadena,CA,0,Tentative,4units. 1-4.,-118.1739781,34.11012621
104,7/19/2022 7:02:25 AM,164 Monterey Rd,South Pasadena,CA,0,Tentative,22 units. A-U.,-118.1743365,34.11040524
105,7/18/2022 7:05:00 AM,154 Monterey Rd,South Pasadena,CA,0,No,Did not attempt. Gate locked.,-118.1745311,34.11034309
106,7/18/2022 7:05:00 AM,150 Monterey Rd,South Pasadena,CA,0,No,Did not attempt. Gate locked.,-118.1746457,34.11031647
107,7/18/2022 7:08:00 AM,133 Monterey Rd,South Pasadena,CA,5,Yes,None,-118.175333,34.10979286
108,7/18/2022 7:10:00 AM,124 Monterey Rd,South Pasadena,CA,0,No,Did not attempt. Gate locked.,-118.1761869,34.10993493
109,7/18/2022 7:14:00 AM,92 Monterey Rd,South Pasadena,CA,12,Yes,Also with 90 Monterey Rd.,-118.1771709,34.10976566
110,7/19/2022 8:14:46 PM,421 Mission St,South Pasadena,CA,20,Yes,Also with 425 Mission St.,-118.165347,34.11547063
111,9/7/2022 7:47:00 AM,511 El Centro St,South Pasadena,CA,4,Yes,QC - repaired,-118.1645611,34.11387061
112,7/19/2022 8:19:36 PM,402 El Centro St,South Pasadena,CA,14,Yes,None,-118.1660495,34.11421791
113,9/7/2022 7:45:00 AM,356 El Centro St,South Pasadena,CA,2,Yes,Unable to determine layout of units A-C. QC reject. Mislabeled units.,-118.1663105,34.11426971
114,7/19/2022 8:25:43 PM,347 Pasadena Ave,South Pasadena,CA,0,No,Units were not labeled.,-118.1667964,34.11476462
115,7/19/2022 8:28:50 PM,339 Pasadena Ave,South Pasadena,CA,0,No,Did not attempt. Gate locked.,-118.1671604,34.11435287
116,7/19/2022 8:31:29 PM,321 Pasadena Ave,South Pasadena,CA,0,Tentative,Unable to locate units 7-12.,-118.1680742,34.11329207
117,7/19/2022 8:33:26 PM,316 Pasadena Ave,South Pasadena,CA,14,Yes,None,-118.1687377,34.11316086
118,7/19/2022 8:37:05 PM,314 Pasadena Ave,South Pasadena,CA,12,Yes,Also with 312 Pasadena Ave.,-118.1689246,34.11302141
119,7/23/2022 5:06:00 AM,812 Orange Grove Ave,South Pasadena,CA,0,No,Did not attempt. Gate locked.,-118.1602399,34.11618386
120,7/23/2022 5:08:00 AM,810 Orange Grove Ave,South Pasadena,CA,8,Yes,None,-118.1602367,34.11635545
121,7/23/2022 5:10:00 AM,711 Orange Grove Ave,South Pasadena,CA,0,No,Did not attempt. Door locked.,-118.1606868,34.11665686
122,7/23/2022 5:13:00 AM,701 Orange Grove Ave,South Pasadena,CA,0,No,Did not attempt. Gate locked.,-118.1607039,34.1171036
123,7/23/2022 5:15:00 AM,700 Orange Grove Ave,South Pasadena,CA,0,Tentative,In progress. 24 units.,-118.1601879,34.11703757
124,7/23/2022 5:18:00 AM,652 Orange Grove Ave,South Pasadena,CA,18,Yes,None,-118.1602196,34.11755795
125,7/23/2022 5:20:00 AM,653 Orange Grove Ave,South Pasadena,CA,14,Yes,Also with 657 Orange Grove Ave.,-118.160711,34.11754019
126,7/23/2022 5:22:00 AM,647 Orange Grove Ave,South Pasadena,CA,0,Tentative,In progress.,-118.160706,34.11778957
127,7/23/2022 5:25:00 AM,639 Orange Grove Ave,South Pasadena,CA,20,Yes,None,-118.1607066,34.11803554
128,7/23/2022 5:27:00 AM,631 Orange Grove Ave,South Pasadena,CA,4,Yes,None,-118.1608438,34.11838054
129,7/23/2022 5:33:00 AM,617 Orange Grove Ave,South Pasadena,CA,14,Yes,Also with 615 Orange Grove Ave,-118.1607169,34.11876113
130,7/23/2022 5:36:00 AM,646 Orange Grove Ave,South Pasadena,CA,0,No,Did not attempt. Gate locked.,-118.1601849,34.11780804
131,7/23/2022 5:45:00 AM,807 Prospect Ave,South Pasadena,CA,16,Yes,None,-118.1587458,34.11631294
132,7/23/2022 5:49:00 AM,715 Prospect Ave,South Pasadena,CA,19,Yes,None,-118.158727,34.1168556
133,7/23/2022 5:50:00 AM,714 Prospect Ave,South Pasadena,CA,10,Yes,None,-118.1583736,34.11681758
134,7/23/2022 5:56:00 AM,727 Meridian Ave,South Pasadena,CA,24,Yes,Also with 929 Magnolia St,-118.15729,34.11693221
135,7/23/2022 6:00:00 AM,801 Meridian Ave,South Pasadena,CA,20,Yes,None,-118.157297,34.11657664
136,9/9/2022 5:55:56 PM,1916 Huntington Dr,South Pasadena,CA,0,No,Units 1-4 on mailbox. Unit 5 in back of property. Entrance in front locked.,-118.1434939,34.10452234
137,9/9/2022 6:08:47 PM,1712 Huntington Dr,South Pasadena,CA,14,Yes,None,-118.1461095,34.10439671
138,9/9/2022 6:20:51 PM,1644 Huntington Dr,South Pasadena,CA,0,No,Mapped 12 units but one entrance was locked. 4 units missing? Spoke to resident.,-118.1477396,34.10441855
139,9/9/2022 6:23:12 PM,1638 Huntington Dr,South Pasadena,CA,12,Yes,Also with 1636 and 1640 Huntington Dr.,-118.1480949,34.10438865
140,9/9/2022 6:46:02 PM,1612 Huntington Dr,South Pasadena,CA,12,Yes,Also with 1616 Huntington Dr. 1616 address had both entrances locked.,-118.1490654,34.1044507
141,9/9/2022 7:05:36 PM,1515 Huntington Dr,South Pasadena,CA,14,Yes,"Also 1513, 1517, and 1519 Huntington Dr.",-118.1496795,34.10385777
142,9/9/2022 7:22:41 PM,1721 Huntington Dr,South Pasadena,CA,11,Yes,None,-118.1455482,34.10392596
143,9/9/2022 7:24:34 PM,1731 Huntington Dr,South Pasadena,CA,8,Yes,None,-118.1453021,34.10394126
144,9/9/2022 7:38:52 PM,1809 Huntington Dr,South Pasadena,CA,6,Yes,"Abnormal spatial layout. B, e, g accessed on one side. C, d, f on other side. Gi is office. F unit is lone unit in back. Hard to observe in google maps imagery.",-118.1445459,34.10391526
145,9/9/2022 7:39:27 PM,1811 Huntington Dr,South Pasadena,CA,7,Yes,None,-118.1443725,34.10393807
146,9/9/2022 7:53:50 PM,1931 Huntington Dr,South Pasadena,CA,0,No,Entrance locked. Units appear to be on second floor over commercial businesses.,-118.1426513,34.10395593
147,9/9/2022 7:55:10 PM,1941 Huntington Dr,South Pasadena,CA,7,Yes,Site is a medical/ dental office. Units A-F no G. See pic.,-118.1422409,34.1039175
148,9/16/2022 5:43:25 PM,1260,South Pasadena,CA,15,Tentative,Is an office building. Unable to map units inside 201. See Jeff.,-118.1542919,34.1034519
149,9/16/2022 6:50:53 PM,1150 Huntington Dr,South Pasadena,CA,7,Yes,None,-118.1555326,34.10040496
150,9/16/2022 7:06:12 PM,1120 Huntington Dr,South Pasadena,CA,24,Yes,Also with 1124 Huntington Dr.,-118.1556215,34.09942764
151,9/16/2022 7:07:12 PM,1170 Huntington Dr,South Pasadena,CA,0,Tentative,In progress.,-118.1555054,34.10118299
152,9/16/2022 8:05:45 PM,1155 Huntington Dr,South Pasadena,CA,5,Yes,None,-118.1549431,34.10073773
153,9/9/2022 7:36:00 PM,1832 Fletcher Ave.,South Pasadena,CA,0,No,Entrance locked.,-118.1423266,34.10461655
154,9/16/2022 10:52:00 PM,1250 Huntington Dr,South Pasadena,CA,5,Yes,None,-118.1547208,34.10303179
155,9/16/2022 11:01:00 PM,1234 Huntington Dr,South Pasadena,CA,7,Yes,None,-118.1550268,34.10263994
156,9/16/2022 11:21:00 PM,1220 Huntington Dr,South Pasadena,CA,4,Yes,None,-118.1554003,34.10218871
157,9/16/2022 11:38:00 PM,1216 Huntington Dr,South Pasadena,CA,3,Yes,None,-118.1553679,34.10200085
158,9/17/2022 12:26:00 AM,1156 Huntington Dr,South Pasadena,CA,6,Yes,Also with 1158 Huntington Dr.,-118.1555266,34.10070272
159,9/17/2022 12:37:00 AM,1152 Huntington Dr,South Pasadena,CA,8,Yes,May be in the csv as 1154 Huntington Dr.,-118.1555343,34.10054962
160,9/22/2022 6:04:29 PM,1654 Huntington Dr,South Pasadena,CA,8,Yes,Also with 1652 Huntington Dr.,-118.1475051,34.10440306
161,9/16/2022 6:15:00 PM,1137 Huntington Dr,South Pasadena,CA,6,Yes,None,-118.1549588,34.10002653
162,9/22/2022 6:19:43 PM,1125 Huntington Dr,South Pasadena,CA,0,Tentative,None,-118.1549842,34.09958691
163,9/22/2022 6:33:47 PM,1127 Huntington Dr,South Pasadena,CA,8,Yes,None,-118.1549844,34.09973665
164,9/22/2022 6:49:27 PM,1171 Huntington Dr,South Pasadena,CA,4,Yes,None,-118.1548162,34.10124729
165,9/22/2022 6:52:01 PM,1207 Huntington Dr,South Pasadena,CA,7,Yes,None,-118.1547928,34.10168929
166,9/22/2022 6:53:24 PM,1223 Huntington Dr,South Pasadena,CA,6,Yes,Also with 1227 Huntington Dr. Gate for 1223 Huntington Dr was locked.,-118.1545693,34.10220981
167,9/22/2022 6:54:21 PM,1221 Huntington Dr,South Pasadena,CA,0,Tentative,None,-118.154702,34.10198387
168,9/22/2022 7:23:22 PM,1253 Huntington Dr,South Pasadena,CA,3,Yes,None,-118.1539795,34.10292913
169,9/22/2022 7:25:48 PM,1263 Huntington Dr,South Pasadena,CA,12,Yes,Also with 1257 Huntington Dr.,-118.1537671,34.10309155
170,9/22/2022 7:43:35 PM,1211 Huntington Dr,South Pasadena,CA,8,Yes,None,-118.1547726,34.10183806
171,9/22/2022 7:56:36 PM,1313 Huntington Dr,South Pasadena,CA,10,Yes,None,-118.1532634,34.10345462
172,9/22/2022 8:13:52 PM,1499 Huntington Dr,South Pasadena,CA,0,Tentative,None,-118.1505276,34.10385221
173,9/22/2022 8:15:09 PM,1445 Huntington Dr,South Pasadena,CA,0,Tentative,None,-118.1508725,34.10385274
174,9/23/2022 6:30:47 PM,1628 Huntington Dr,South Pasadena,CA,0,Tentative,None,-118.1484137,34.10439519
175,9/23/2022 6:43:27 PM,1624 Huntington Dr,South Pasadena,CA,6,Yes,Also with 1620 and 1622 Huntington Dr.,-118.1487495,34.10445342
176,9/23/2022 6:47:26 PM,1308 Huntington Dr,South Pasadena,CA,12,Yes,None,-118.153392,34.1040345
177,9/23/2022 6:50:40 PM,1318 Huntington Dr,South Pasadena,CA,0,Tentative,None,-118.1528454,34.1041973
178,9/23/2022 7:17:22 PM,923 Fremont Ave,South Pasadena,CA,7,Yes,None,-118.1533218,34.11493508
179,9/23/2022 7:21:43 PM,1001 Fremont Ave,South Pasadena,CA,0,Tentative,None,-118.1533781,34.11448216
180,9/23/2022 7:33:49 PM,1216 Fremont Ave,South Pasadena,CA,5,Yes,None,-118.1529428,34.11143456
181,9/23/2022 7:35:40 PM,1414 Fremont Ave,South Pasadena,CA,0,Tentative,None,-118.1529532,34.10934168
182,9/23/2022 7:37:48 PM,1609 Fremont Ave,South Pasadena,CA,0,Tentative,None,-118.1533951,34.10724381
183,9/17/2022 6:21:00 AM,1136 Huntington Dr,South Pasadena,CA,6,Yes,None,-118.1555664,34.09994184
184,9/17/2022 6:24:00 AM,1128 Huntington Dr,South Pasadena,CA,0,No,Gate locked.,-118.1555645,34.09966211
185,9/17/2022 6:26:00 AM,1130 Huntington Dr,South Pasadena,CA,0,No,Gate locked.,-118.1555697,34.09979954
186,9/16/2022 7:03:00 AM,1111 Huntington Dr,South Pasadena,CA,4,Yes,None,-118.1549188,34.09910736
187,10/1/2022 5:37:01 PM,1807 Huntington Dr,South Pasadena,CA,0,Preliminary,None,-118.153155,34.105478
188,10/1/2022 6:00:26 PM,1811 Fremont Ave,South Pasadena,CA,0,Preliminary,None,-118.153118,34.10527499
189,10/1/2022 6:07:32 PM,1827 Fremont Ave,South Pasadena,CA,0,Preliminary,None,-118.152828,34.10466358
190,10/16/2022 11:21:00 PM,1159 Huntington Dr,South Pasadena,CA,4,Yes,Mailbox is labeled units 1-4.,-118.1549283,34.1009034
191,9/24/2022 4:42:00 AM,1700 Huntington Dr,South Pasadena,CA,0,Tentative,In progress.,-118.1463709,34.10442106
