ID,Date,Address,City,State,Units,Completion,X,Y
59.0,7/14/2022 1:46:31 AM,617 Prospect Ave,South Pasadena,CA,20.0,Yes,-118.1586933,34.11820693
60.0,7/14/2022 1:50:49 AM,605 Prospect Ave,South Pasadena,CA,4.0,Yes,-118.1587113,34.118649
61.0,7/14/2022 2:29:05 AM,831 Grevelia St,South Pasadena,CA,12.0,Yes,-118.1590382,34.1186908
62.0,7/14/2022 2:42:01 AM,825 Grevelia St,South Pasadena,CA,6.0,Yes,-118.1593526,34.11871077
63.0,7/14/2022 2:56:34 AM,609 Prospect Ave,South Pasadena,CA,30.0,Yes,-118.1586824,34.11841782
65.0,7/14/2022 3:12:37 AM,616 Prospect Ave,South Pasadena,CA,10.0,Yes,-118.1583485,34.11821628
66.0,7/14/2022 3:15:17 AM,622 Prospect Ave,South Pasadena,CA,4.0,Yes,-118.1583357,34.1180527
67.0,7/14/2022 3:26:54 AM,626 Prospect Ave,South Pasadena,CA,12.0,Yes,-118.1583141,34.11785029
68.0,7/14/2022 3:33:17 AM,634 Prospect Ave,South Pasadena,CA,5.0,Yes,-118.1583485,34.11770177
69.0,7/14/2022 3:41:07 AM,640 Prospect Ave,South Pasadena,CA,9.0,Yes,-118.1582721,34.11746527
70.0,7/22/2022 5:50:00 PM,623 Prospect Ave,South Pasadena,CA,10.0,Yes,-118.1587171,34.11799111
72.0,7/15/2022 10:50:07 PM,396 Pasadena Ave,South Pasadena,CA,10.0,Yes,-118.1670156,34.11521236
73.0,7/15/2022 10:52:29 PM,326 Pasadena Ave,South Pasadena,CA,6.0,Yes,-118.1682174,34.11375721
74.0,7/15/2022 10:53:33 PM,330 Pasadena Ave,South Pasadena,CA,4.0,Yes,-118.1680224,34.11399786
75.0,7/15/2022 10:55:06 PM,334 Pasadena Ave,South Pasadena,CA,5.0,Yes,-118.1678434,34.11423996
76.0,7/15/2022 10:56:44 PM,324 Pasadena Ave,South Pasadena,CA,8.0,Yes,-118.1683873,34.11357434
77.0,7/15/2022 11:05:07 PM,900 Arroyo Dr,South Pasadena,CA,4.0,Yes,-118.1668314,34.11552802
78.0,7/19/2022 11:07:00 PM,310 Pasadena Ave,South Pasadena,CA,21.0,Yes,-118.1690855,34.11272548
79.0,7/15/2022 11:10:58 PM,320 Pasadena Ave,South Pasadena,CA,14.0,Yes,-118.1687434,34.11347504
80.0,7/15/2022 11:12:19 PM,1012 Arroyo Dr,South Pasadena,CA,16.0,Yes,-118.1692474,34.11371617
82.0,7/15/2022 11:19:33 PM,1000 Arroyo Dr,South Pasadena,CA,3.0,Yes,-118.1689515,34.11408951
84.0,9/7/2022 11:25:00 PM,328 Pasadena Ave,South Pasadena,CA,1.0,Yes,-118.1681355,34.1138907
85.0,7/15/2022 11:26:56 PM,938 Arroyo Dr,South Pasadena,CA,3.0,Yes,-118.1684147,34.11452784
86.0,7/15/2022 10:55:06 PM,332 Pasadena Ave,South Pasadena,CA,5.0,Yes,-118.1679299,34.11411946
87.0,7/18/2022 6:28:56 PM,190 Monterey  Rd,South Pasadena,CA,3.0,Yes,-118.1730997,34.11070832
91.0,9/8/2022 6:28:00 AM,254 Monterey Rd,South Pasadena,CA,16.0,Yes,-118.1707457,34.11145254
93.0,9/8/2022 6:33:00 AM,236 Monterey Rd,South Pasadena,CA,18.0,Yes,-118.1712293,34.1112605
97.0,7/19/2022 6:41:48 AM,200 Monterey Rd,South Pasadena,CA,8.0,Yes,-118.1726404,34.11081316
98.0,7/19/2022 6:45:06 AM,174 Monterey Rd,South Pasadena,CA,5.0,Yes,-118.1735825,34.11057284
99.0,7/19/2022 6:49:21 AM,170 Monterey Rd,South Pasadena,CA,5.0,Yes,-118.1737377,34.11054017
100.0,7/19/2022 6:52:11 AM,185 Monterey Rd,South Pasadena,CA,1.0,Yes,-118.1731746,34.1103458
101.0,7/19/2022 6:53:29 AM,181 Monterey Rd,South Pasadena,CA,1.0,Yes,-118.1733178,34.11030326
107.0,7/18/2022 7:08:00 AM,133 Monterey Rd,South Pasadena,CA,5.0,Yes,-118.175333,34.10979286
109.0,7/18/2022 7:14:00 AM,92 Monterey Rd,South Pasadena,CA,12.0,Yes,-118.1771709,34.10976566
110.0,7/19/2022 8:14:46 PM,421 Mission St,South Pasadena,CA,20.0,Yes,-118.165347,34.11547063
111.0,9/7/2022 7:47:00 AM,511 El Centro St,South Pasadena,CA,4.0,Yes,-118.1645611,34.11387061
112.0,7/19/2022 8:19:36 PM,402 El Centro St,South Pasadena,CA,14.0,Yes,-118.1660495,34.11421791
113.0,9/7/2022 7:45:00 AM,356 El Centro St,South Pasadena,CA,2.0,Yes,-118.1663105,34.11426971
117.0,7/19/2022 8:33:26 PM,316 Pasadena Ave,South Pasadena,CA,14.0,Yes,-118.1687377,34.11316086
118.0,7/19/2022 8:37:05 PM,314 Pasadena Ave,South Pasadena,CA,12.0,Yes,-118.1689246,34.11302141
120.0,7/23/2022 5:08:00 AM,810 Orange Grove Ave,South Pasadena,CA,8.0,Yes,-118.1602367,34.11635545
124.0,7/23/2022 5:18:00 AM,652 Orange Grove Ave,South Pasadena,CA,18.0,Yes,-118.1602196,34.11755795
125.0,7/23/2022 5:20:00 AM,653 Orange Grove Ave,South Pasadena,CA,14.0,Yes,-118.160711,34.11754019
127.0,7/23/2022 5:25:00 AM,639 Orange Grove Ave,South Pasadena,CA,20.0,Yes,-118.1607066,34.11803554
128.0,7/23/2022 5:27:00 AM,631 Orange Grove Ave,South Pasadena,CA,4.0,Yes,-118.1608438,34.11838054
129.0,7/23/2022 5:33:00 AM,617 Orange Grove Ave,South Pasadena,CA,14.0,Yes,-118.1607169,34.11876113
131.0,7/23/2022 5:45:00 AM,807 Prospect Ave,South Pasadena,CA,16.0,Yes,-118.1587458,34.11631294
132.0,7/23/2022 5:49:00 AM,715 Prospect Ave,South Pasadena,CA,19.0,Yes,-118.158727,34.1168556
133.0,7/23/2022 5:50:00 AM,714 Prospect Ave,South Pasadena,CA,10.0,Yes,-118.1583736,34.11681758
134.0,7/23/2022 5:56:00 AM,727 Meridian Ave,South Pasadena,CA,24.0,Yes,-118.15729,34.11693221
135.0,7/23/2022 6:00:00 AM,801 Meridian Ave,South Pasadena,CA,20.0,Yes,-118.157297,34.11657664
137.0,9/9/2022 6:08:47 PM,1712 Huntington Dr,South Pasadena,CA,14.0,Yes,-118.1461095,34.10439671
139.0,9/9/2022 6:23:12 PM,1638 Huntington Dr,South Pasadena,CA,12.0,Yes,-118.1480949,34.10438865
140.0,9/9/2022 6:46:02 PM,1612 Huntington Dr,South Pasadena,CA,12.0,Yes,-118.1490654,34.1044507
141.0,9/9/2022 7:05:36 PM,1515 Huntington Dr,South Pasadena,CA,14.0,Yes,-118.1496795,34.10385777
142.0,9/9/2022 7:22:41 PM,1721 Huntington Dr,South Pasadena,CA,11.0,Yes,-118.1455482,34.10392596
143.0,9/9/2022 7:24:34 PM,1731 Huntington Dr,South Pasadena,CA,8.0,Yes,-118.1453021,34.10394126
144.0,9/9/2022 7:38:52 PM,1809 Huntington Dr,South Pasadena,CA,6.0,Yes,-118.1445459,34.10391526
145.0,9/9/2022 7:39:27 PM,1811 Huntington Dr,South Pasadena,CA,7.0,Yes,-118.1443725,34.10393807
147.0,9/9/2022 7:55:10 PM,1941 Huntington Dr,South Pasadena,CA,7.0,Yes,-118.1422409,34.1039175
149.0,9/16/2022 6:50:53 PM,1150 Huntington Dr,South Pasadena,CA,7.0,Yes,-118.1555326,34.10040496
150.0,9/16/2022 7:06:12 PM,1120 Huntington Dr,South Pasadena,CA,24.0,Yes,-118.1556215,34.09942764
152.0,9/16/2022 8:05:45 PM,1155 Huntington Dr,South Pasadena,CA,5.0,Yes,-118.1549431,34.10073773
154.0,9/16/2022 10:52:00 PM,1250 Huntington Dr,South Pasadena,CA,5.0,Yes,-118.1547208,34.10303179
155.0,9/16/2022 11:01:00 PM,1234 Huntington Dr,South Pasadena,CA,7.0,Yes,-118.1550268,34.10263994
156.0,9/16/2022 11:21:00 PM,1220 Huntington Dr,South Pasadena,CA,4.0,Yes,-118.1554003,34.10218871
157.0,9/16/2022 11:38:00 PM,1216 Huntington Dr,South Pasadena,CA,3.0,Yes,-118.1553679,34.10200085
158.0,9/17/2022 12:26:00 AM,1156 Huntington Dr,South Pasadena,CA,6.0,Yes,-118.1555266,34.10070272
159.0,9/17/2022 12:37:00 AM,1152 Huntington Dr,South Pasadena,CA,8.0,Yes,-118.1555343,34.10054962
160.0,9/22/2022 6:04:29 PM,1654 Huntington Dr,South Pasadena,CA,8.0,Yes,-118.1475051,34.10440306
161.0,9/16/2022 6:15:00 PM,1137 Huntington Dr,South Pasadena,CA,6.0,Yes,-118.1549588,34.10002653
163.0,9/22/2022 6:33:47 PM,1127 Huntington Dr,South Pasadena,CA,8.0,Yes,-118.1549844,34.09973665
164.0,9/22/2022 6:49:27 PM,1171 Huntington Dr,South Pasadena,CA,4.0,Yes,-118.1548162,34.10124729
165.0,9/22/2022 6:52:01 PM,1207 Huntington Dr,South Pasadena,CA,7.0,Yes,-118.1547928,34.10168929
166.0,9/22/2022 6:53:24 PM,1223 Huntington Dr,South Pasadena,CA,6.0,Yes,-118.1545693,34.10220981
168.0,9/22/2022 7:23:22 PM,1253 Huntington Dr,South Pasadena,CA,3.0,Yes,-118.1539795,34.10292913
169.0,9/22/2022 7:25:48 PM,1263 Huntington Dr,South Pasadena,CA,12.0,Yes,-118.1537671,34.10309155
170.0,9/22/2022 7:43:35 PM,1211 Huntington Dr,South Pasadena,CA,8.0,Yes,-118.1547726,34.10183806
171.0,9/22/2022 7:56:36 PM,1313 Huntington Dr,South Pasadena,CA,10.0,Yes,-118.1532634,34.10345462
175.0,9/23/2022 6:43:27 PM,1624 Huntington Dr,South Pasadena,CA,6.0,Yes,-118.1487495,34.10445342
176.0,9/23/2022 6:47:26 PM,1308 Huntington Dr,South Pasadena,CA,12.0,Yes,-118.153392,34.1040345
178.0,9/23/2022 7:17:22 PM,923 Fremont Ave,South Pasadena,CA,7.0,Yes,-118.1533218,34.11493508
180.0,9/23/2022 7:33:49 PM,1216 Fremont Ave,South Pasadena,CA,5.0,Yes,-118.1529428,34.11143456
183.0,9/17/2022 6:21:00 AM,1136 Huntington Dr,South Pasadena,CA,6.0,Yes,-118.1555664,34.09994184
186.0,9/16/2022 7:03:00 AM,1111 Huntington Dr,South Pasadena,CA,4.0,Yes,-118.1549188,34.09910736
190.0,10/16/2022 11:21:00 PM,1159 Huntington Dr,South Pasadena,CA,4.0,Yes,-118.1549283,34.1009034
